time(s),cellId,rnti,lcid,packetSize,delay(s)
1.02974,8,3,3,15967,0.00274285
1.02989,2,2,3,15967,0.00288571
1.02989,6,2,3,9544,0.00288571
1.02989,8,2,3,15967,0.00288571
1.03003,4,1,3,15618,0.00302856
1.03003,2,1,3,15967,0.00302856
1.03003,8,1,3,15967,0.00302856
1.03031,8,6,3,7982,0.00231428
1.03039,2,5,3,23949,0.00238571
1.03039,4,3,3,23949,0.00238571
1.0306,6,4,3,23949,0.0026
1.03074,2,3,3,15967,0.00274285
1.03074,6,3,3,1733,0.00274285
1.03074,8,3,3,15967,0.00274285
1.03089,2,2,3,15967,0.00288571
1.03089,6,2,3,9544,0.00288571
1.03089,8,2,3,15967,0.00288571
1.03096,4,1,3,15618,0.00295714
1.03103,2,1,3,15967,0.00302856
1.03103,6,1,3,7807,0.00302856
1.03103,8,1,3,15967,0.00302856
1.03124,8,7,3,2139,0.00224286
1.03131,8,6,3,7982,0.00231428
1.03139,2,5,3,23949,0.00238571
1.03139,6,5,3,14317,0.00238571
1.03146,4,3,3,31934,0.00245714
1.03146,8,5,3,6939,0.00245714
1.0316,2,4,3,19524,0.0026
1.0316,6,4,3,23949,0.0026
1.03174,4,2,3,22561,0.00274285
1.03174,2,3,3,15967,0.00274285
1.03174,6,3,3,1097,0.00274285
1.03174,8,3,3,15967,0.00274285
1.03189,2,2,3,15967,0.00288571
1.03189,6,2,3,9544,0.00288571
1.03189,8,2,3,15967,0.00288571
1.03203,4,1,3,15618,0.00302856
1.03203,2,1,3,15967,0.00302856
1.03203,6,1,3,7807,0.00302856
1.03203,8,1,3,15967,0.00302856
1.03224,8,7,3,2139,0.00224286
1.03231,8,6,3,7982,0.00231428
1.0326,2,4,3,22128,0.0026
1.03274,2,3,3,15967,0.00274285
1.03274,8,3,3,15967,0.00274285
1.03289,2,2,3,15967,0.00288571
1.03289,8,2,3,15967,0.00288571
1.03303,4,2,3,26031,0.00802856
1.03303,6,3,3,1733,0.00802856
1.03303,6,1,3,15967,0.00802856
1.03303,2,1,3,15967,0.00302856
1.03303,8,1,3,15967,0.00302856
1.03324,8,7,3,1733,0.00224286
1.03331,8,6,3,7982,0.00231428
1.03339,2,5,3,23949,0.00238571
1.03346,4,3,3,31934,0.00245714
1.03346,8,5,3,6939,0.00245714
1.0336,2,4,3,19524,0.0026
1.03374,4,2,3,22561,0.00274285
1.03374,2,3,3,15967,0.00274285
1.03374,8,3,3,15967,0.00274285
1.03389,2,2,3,15967,0.00288571
1.03389,8,2,3,15967,0.00288571
1.03403,6,5,3,14317,0.00802856
1.03403,4,1,3,15618,0.00302856
1.03403,2,1,3,15967,0.00302856
1.03403,8,1,3,15967,0.00302856
1.03424,8,7,3,1733,0.00224286
1.03431,8,6,3,7982,0.00231428
1.03446,4,3,3,31934,0.00245714
1.03446,8,5,3,11280,0.00245714
1.03474,4,2,3,26031,0.00274285
1.03474,8,3,3,15967,0.00274285
1.03489,8,2,3,15967,0.00288571
1.03503,2,4,3,22128,0.00802856
1.03503,6,1,3,14750,0.00802856
1.03503,4,1,3,15618,0.00302856
1.03503,8,1,3,15967,0.00302856
1.03603,2,4,3,23949,0.00802856
1.03603,4,2,3,26031,0.00802856
1.03603,6,5,3,19524,0.00802856
1.03603,8,7,3,2775,0.00802856
1.03603,8,5,3,11280,0.00802856
1.03603,8,4,3,7807,0.00802856
1.03639,2,5,3,23949,0.00238571
1.03639,6,5,3,14317,0.00238571
1.03646,4,3,3,31934,0.00245714
1.0366,2,4,3,22128,0.0026
1.0366,6,4,3,23949,0.0026
1.03674,4,2,3,19091,0.00274285
1.03674,2,3,3,15967,0.00274285
1.03689,2,2,3,15967,0.00288571
1.03703,8,4,3,6939,0.00802856
1.03703,4,1,3,15618,0.00302856
1.03703,2,1,3,15967,0.00302856
1.03703,6,1,3,7807,0.00302856
1.03739,6,5,3,14317,0.00238571
1.03746,4,3,3,31934,0.00245714
1.0376,6,4,3,23949,0.0026
1.03774,4,2,3,22561,0.00274285
1.03774,6,3,3,1097,0.00274285
1.03803,2,5,3,23949,0.00802856
1.03803,8,5,3,14750,0.00802856
1.03803,8,4,3,6939,0.00802856
1.03803,4,1,3,15618,0.00302856
1.03803,6,1,3,7807,0.00302856
1.03839,2,5,3,22128,0.00238571
1.03839,6,5,3,14317,0.00238571
1.03846,4,3,3,31934,0.00245714
1.03853,6,4,3,15967,0.00252857
1.0386,2,4,3,19524,0.0026
1.03867,6,3,3,458,0.00267142
1.03874,4,2,3,22561,0.00274285
1.03874,2,3,3,15967,0.00274285
1.03889,2,2,3,15967,0.00288571
1.03903,8,4,3,6939,0.00802856
1.03903,4,1,3,15618,0.00302856
1.03903,2,1,3,15967,0.00302856
1.03939,2,5,3,23949,0.00238571
1.03946,4,3,3,31934,0.00245714
1.0396,2,4,3,19524,0.0026
1.0396,6,4,3,23949,0.0026
1.03974,4,2,3,22561,0.00274285
1.03974,2,3,3,15967,0.00274285
1.03974,6,3,3,458,0.00274285
1.03989,2,2,3,15967,0.00288571
1.04003,8,4,3,9544,0.00802856
1.04003,2,1,3,15967,0.00302856
1.04031,8,6,3,7982,0.00231428
1.04039,2,5,3,23949,0.00238571
1.04046,4,3,3,31934,0.00245714
1.0406,6,4,3,23949,0.0026
1.04074,2,3,3,15967,0.00274285
1.04074,6,3,3,458,0.00274285
1.04074,8,3,3,15967,0.00274285
1.04089,2,2,3,15967,0.00288571
1.04089,6,2,3,9544,0.00288571
1.04089,8,2,3,15967,0.00288571
1.04103,2,1,3,15967,0.00302856
1.04103,8,1,3,15967,0.00302856
1.04131,8,6,3,7982,0.00231428
1.04146,4,3,3,31934,0.00245714
1.0416,8,4,3,1733,0.0026
1.04174,4,2,3,19091,0.00274285
1.04174,2,3,3,15967,0.00274285
1.04174,8,3,3,15967,0.00274285
1.04189,2,2,3,15967,0.00288571
1.04189,8,2,3,15967,0.00288571
1.04203,6,3,3,1733,0.00802856
1.04203,6,2,3,9544,0.00802856
1.04203,2,1,3,15967,0.00302856
1.04203,8,1,3,15967,0.00302856
1.04231,8,6,3,7982,0.00231428
