Time,direction,frame,subF,slot,1stSym,nSymbol,cellId,bwpId,rnti,tbSize,mcs,rank,rv,SINR(dB),CQI,corrupt,TBler
1.01736,DL,101,7,0,1,4,3,0,3,3,926,0,1,0,42.5427,0,0
1.01736,DL,101,7,0,3,2,7,0,5,5,461,0,1,0,9.97693,0,0
1.0175,DL,101,7,0,4,3,1,0,4,4,693,0,1,0,21.3812,0,0
1.0175,DL,101,7,0,4,3,5,0,4,4,693,0,1,0,73.2184,0,0
1.0175,DL,101,7,0,5,2,7,0,4,4,461,0,1,0,11.2082,0,0
1.01764,DL,101,7,0,5,4,3,0,2,2,926,0,1,0,19.0117,0,0
1.01764,DL,101,7,0,7,2,1,0,3,3,461,0,1,0,35.2439,0,0
1.01764,DL,101,7,0,7,2,5,0,3,3,461,0,1,0,0.351553,0,0
1.01764,DL,101,7,0,7,2,7,0,3,3,461,0,1,0,58.7557,0,0
1.01779,DL,101,7,0,9,2,1,0,2,2,461,0,1,0,44.3343,0,0
1.01779,DL,101,7,0,9,2,5,0,2,2,461,0,1,0,15.3786,0,0
1.01779,DL,101,7,0,9,2,7,0,2,2,461,0,1,0,67.6226,0,0
1.01793,DL,101,7,0,9,4,3,0,1,1,926,0,1,0,15.8354,0,0
1.01793,DL,101,7,0,11,2,1,0,1,1,461,0,1,0,31.2232,0,0
1.01793,DL,101,7,0,11,2,5,0,1,1,461,0,1,0,17.1363,0,0
1.01793,DL,101,7,0,11,2,7,0,1,1,461,0,1,0,56.3548,0,0
1.01814,DL,101,8,0,1,1,7,0,7,7,229,0,1,0,5.95079,0,0
1.01821,DL,101,8,0,2,1,7,0,6,6,229,0,1,0,71.6703,0,0
1.01829,DL,101,8,0,1,3,1,0,5,5,693,0,1,0,28.6784,0,0
1.01829,DL,101,8,0,1,3,5,0,5,5,693,0,1,0,16.8671,0,0
1.01836,DL,101,8,0,1,4,3,0,3,3,926,0,1,0,42.5629,0,0
1.01836,DL,101,8,0,3,2,7,0,5,5,461,0,1,0,9.96229,0,0
1.0185,DL,101,8,0,4,3,1,0,4,4,693,0,1,0,21.32,0,0
1.0185,DL,101,8,0,4,3,5,0,4,4,693,0,1,0,73.1905,0,0
1.0185,DL,101,8,0,5,2,7,0,4,4,461,0,1,0,11.2014,0,0
1.01864,DL,101,8,0,5,4,3,0,2,2,926,0,1,0,18.9474,0,0
1.01864,DL,101,8,0,7,2,1,0,3,3,461,0,1,0,35.2198,0,0
1.01864,DL,101,8,0,7,2,5,0,3,3,461,0,1,0,0.410475,0,0
1.01864,DL,101,8,0,7,2,7,0,3,3,461,0,1,0,58.6965,0,0
1.01879,DL,101,8,0,9,2,1,0,2,2,461,0,1,0,44.2576,0,0
1.01879,DL,101,8,0,9,2,5,0,2,2,461,0,1,0,15.3856,0,0
1.01879,DL,101,8,0,9,2,7,0,2,2,461,0,1,0,67.6265,0,0
1.01893,DL,101,8,0,9,4,3,0,1,1,926,0,1,0,15.8884,0,0
1.01893,DL,101,8,0,11,2,1,0,1,1,461,0,1,0,31.3117,0,0
1.01893,DL,101,8,0,11,2,5,0,1,1,461,0,1,0,17.2163,0,0
1.01893,DL,101,8,0,11,2,7,0,1,1,461,0,1,0,56.4093,0,0
1.01914,DL,101,9,0,1,1,7,0,7,7,1736,10,1,0,6.02732,0,4.35652e-12
1.01921,DL,101,9,0,2,1,7,0,6,6,7985,28,1,0,71.6575,0,0
1.01929,DL,101,9,0,1,3,1,0,5,5,23952,28,1,0,28.7062,0,1.2943e-06
1.01929,DL,101,9,0,1,3,5,0,5,5,14320,20,1,0,16.9271,0,0
1.01936,DL,101,9,0,1,4,3,0,3,3,31937,28,1,0,42.5793,0,0
1.01936,DL,101,9,0,3,2,7,0,5,5,5554,14,1,0,9.91565,0,0
1.0195,DL,101,9,0,4,3,1,0,4,4,22131,26,1,0,21.2395,1,0.999999
1.0195,DL,101,9,0,4,3,5,0,4,4,23952,28,1,0,73.174,0,0
1.0195,DL,101,9,0,5,2,7,0,4,4,6942,16,1,0,11.1715,0,0.00127228
1.01964,DL,101,9,0,5,4,3,0,2,2,22564,22,1,0,18.912,0,1.07293e-07
1.01964,DL,101,9,0,7,2,1,0,3,3,15970,28,1,0,35.2563,0,0
1.01964,DL,101,9,0,7,2,5,0,3,3,1736,6,1,0,0.392318,0,0.518959
1.01964,DL,101,9,0,7,2,7,0,3,3,15970,28,1,0,58.7346,0,0
1.01979,DL,101,9,0,9,2,1,0,2,2,15970,28,1,0,44.2917,0,0
1.01979,DL,101,9,0,9,2,5,0,2,2,9547,20,1,0,15.4007,0,0
1.01979,DL,101,9,0,9,2,7,0,2,2,15970,28,1,0,67.6353,0,0
1.01993,DL,101,9,0,9,4,3,0,1,1,15621,18,1,0,15.9309,0,0
1.01993,DL,101,9,0,11,2,1,0,1,1,15970,28,1,0,31.2699,0,2.21045e-13
1.01993,DL,101,9,0,11,2,5,0,1,1,7810,18,1,0,17.1879,0,2.51375e-06
1.01993,DL,101,9,0,11,2,7,0,1,1,15970,28,1,0,56.4129,0,0
1.02014,DL,102,0,0,1,1,7,0,7,7,1736,10,1,0,6.0571,0,2.8394e-12
1.02021,DL,102,0,0,2,1,7,0,6,6,7985,28,1,0,71.6522,0,0
1.02029,DL,102,0,0,1,3,1,0,5,5,23952,28,1,0,28.7586,0,1.02782e-06
1.02029,DL,102,0,0,1,3,5,0,5,5,14320,20,1,0,16.9428,0,0
1.02036,DL,102,0,0,1,4,3,0,3,3,31937,28,1,0,42.6533,0,0
1.02036,DL,102,0,0,3,2,7,0,5,5,6942,16,1,0,9.94198,0,0.0385763
1.0205,DL,102,0,0,4,3,1,0,4,4,19527,24,1,0,21.1352,0,0
1.0205,DL,102,0,0,4,3,5,0,4,4,23952,28,1,0,73.2033,0,0
1.0205,DL,102,0,0,5,2,7,0,4,4,6942,16,1,0,11.1221,0,0.00346349
1.02064,DL,102,0,0,5,4,3,0,2,2,22564,22,1,0,18.8692,0,2.94084e-07
1.02064,DL,102,0,0,7,2,1,0,3,3,15970,28,1,0,35.3506,0,0
1.02064,DL,102,0,0,7,2,5,0,3,3,1100,4,1,0,0.304691,0,0
1.02064,DL,102,0,0,7,2,7,0,3,3,15970,28,1,0,58.7679,0,0
1.02079,DL,102,0,0,9,2,1,0,2,2,15970,28,1,0,44.2883,0,0
1.02079,DL,102,0,0,9,2,5,0,2,2,9547,20,1,0,15.4637,0,0
1.02079,DL,102,0,0,9,2,7,0,2,2,15970,28,1,0,67.6305,0,0
1.02093,DL,102,0,0,9,4,3,0,1,1,15621,18,1,0,15.9792,0,0
1.02093,DL,102,0,0,11,2,1,0,1,1,15970,28,1,0,31.2751,0,2.54019e-13
1.02093,DL,102,0,0,11,2,5,0,1,1,7810,18,1,0,17.1959,0,2.48015e-06
1.02093,DL,102,0,0,11,2,7,0,1,1,15970,28,1,0,56.2985,0,0
1.02114,DL,102,1,0,1,1,7,0,7,7,2142,12,1,0,6.07182,0,0.0316592
1.02121,DL,102,1,0,2,1,7,0,6,6,7985,28,1,0,71.6796,0,0
1.02129,DL,102,1,0,1,3,1,0,5,5,23952,28,1,0,28.8234,0,7.62043e-07
1.02129,DL,102,1,0,1,3,5,0,5,5,14320,20,1,0,17.0109,0,0
1.02129,DL,102,1,0,3,1,7,0,5,5,3472,16,1,0,8.61473,1,1
1.02136,DL,102,1,0,1,4,3,0,3,3,31937,28,1,0,42.7226,0,0
1.02143,DL,102,1,0,4,2,1,0,4,4,13017,24,1,0,20.5547,0,5.12242e-10
1.02143,DL,102,1,0,4,2,7,0,4,4,6942,16,1,0,12.4329,0,1.0643e-05
1.0215,DL,102,1,0,4,3,5,0,4,4,23952,28,1,0,73.895,0,0
1.02157,DL,102,1,0,6,2,1,0,3,3,15970,28,1,0,36.3115,0,0
1.02157,DL,102,1,0,6,2,7,0,3,3,15970,28,1,0,58.7795,0,0
1.02164,DL,102,1,0,5,4,3,0,2,2,22564,22,1,0,20.7295,0,0
1.02164,DL,102,1,0,7,2,5,0,3,3,1100,4,1,0,1.53482,0,0
1.02171,DL,102,1,0,8,2,1,0,2,2,15970,28,1,0,44.076,0,0
1.02171,DL,102,1,0,8,2,7,0,2,2,15970,28,1,0,67.6827,0,0
1.02179,DL,102,1,0,9,2,5,0,2,2,9547,20,1,0,14.3909,0,0.00127639
1.02186,DL,102,1,0,10,2,1,0,1,1,15970,28,1,0,30.8592,0,1.1382e-12
1.02186,DL,102,1,0,10,2,7,0,1,1,15970,28,1,0,54.6162,0,0
1.02193,DL,102,1,0,9,4,3,0,1,1,15621,18,1,0,16.3853,0,0
1.02193,DL,102,1,0,11,2,5,0,1,1,7810,18,1,0,27.0424,0,0
1.02214,DL,102,2,0,1,1,7,0,7,7,1736,10,1,0,6.0052,0,1.91324e-11
1.02221,DL,102,2,0,2,1,7,0,6,6,7985,28,1,0,71.6601,0,0
1.02229,DL,102,2,0,1,3,1,0,5,5,23952,28,1,0,28.8658,0,6.21689e-07
1.02229,DL,102,2,0,1,3,5,0,5,5,14320,20,1,0,17.0477,0,0
1.02236,DL,102,2,0,1,4,3,0,3,3,31937,28,1,0,42.856,0,0
1.02236,DL,102,2,0,3,2,7,0,5,5,6942,16,1,0,9.85263,0,0.121059
1.0225,DL,102,2,0,4,3,1,0,4,4,19527,24,1,0,21.1555,0,0
1.0225,DL,102,2,0,4,3,5,0,4,4,23952,28,1,0,73.0837,0,0
1.0225,DL,102,2,0,5,2,7,0,4,4,6942,16,1,0,10.9894,0,0.0116853
