Time(sec),CellId,BwpId,IMSI,pathLoss(dB)
0.990857,7,0,4,-81.3883
0.994857,1,0,19,-100.486
0.996857,5,0,8,-127.032
0.999857,7,0,9,-116.883
1.01286,7,0,13,-89.1259
1.01386,3,0,5,-87.0608
1.01386,1,0,16,-110.649
1.01593,7,0,3,-120.143
1.01593,7,0,4,-81.6314
1.01593,5,0,1,-112.358
1.01593,1,0,10,-111.888
1.01593,3,0,5,-87.0502
1.01593,7,0,6,-113.456
1.01593,5,0,2,-77.0103
1.01593,1,0,16,-110.71
1.01593,7,0,9,-116.654
1.01593,3,0,7,-113.492
1.01593,1,0,17,-110.413
1.01593,5,0,8,-126.856
1.01593,7,0,13,-89.1611
1.01593,1,0,19,-100.679
1.01593,7,0,14,-84.1296
1.01593,5,0,12,-109.117
1.01593,3,0,11,-111.564
1.01593,1,0,20,-107.812
1.01593,7,0,18,-85.1147
1.01593,5,0,15,-113.704
1.01693,7,0,3,-120.147
1.01693,7,0,4,-81.5668
1.01693,5,0,1,-112.305
1.01693,1,0,10,-111.833
1.01693,3,0,5,-87.0366
1.01693,7,0,6,-113.479
1.01693,5,0,2,-76.9819
1.01693,1,0,16,-110.787
1.01693,7,0,9,-116.684
1.01693,3,0,7,-113.491
1.01693,1,0,17,-110.369
1.01693,5,0,8,-126.903
1.01693,7,0,13,-89.161
1.01693,1,0,19,-100.728
1.01693,7,0,14,-84.1222
1.01693,5,0,12,-109.187
1.01693,3,0,11,-111.617
1.01693,1,0,20,-107.806
1.01693,7,0,18,-85.1133
1.01693,5,0,15,-113.699
1.01793,7,0,3,-120.212
1.01793,7,0,4,-81.5885
1.01793,5,0,1,-112.335
1.01793,1,0,10,-111.805
1.01793,3,0,5,-87.0417
1.01793,7,0,6,-113.534
1.01793,5,0,2,-76.9588
1.01793,1,0,16,-110.821
1.01793,7,0,9,-116.675
1.01793,3,0,7,-113.461
1.01793,1,0,17,-110.382
1.01793,5,0,8,-126.94
1.01793,7,0,13,-89.2206
1.01793,1,0,19,-100.828
1.01793,7,0,14,-84.1519
1.01793,5,0,12,-109.353
1.01793,3,0,11,-111.561
1.01793,1,0,20,-107.869
1.01793,7,0,18,-85.2081
1.01793,5,0,15,-113.606
1.01893,7,0,3,-120.159
1.01893,7,0,4,-81.6077
1.01893,5,0,1,-112.35
1.01893,1,0,10,-111.802
1.01893,3,0,5,-87.0418
1.01893,7,0,6,-113.614
1.01893,5,0,2,-77.019
1.01893,1,0,16,-110.839
1.01893,7,0,9,-116.665
1.01893,3,0,7,-113.543
1.01893,1,0,17,-110.436
1.01893,5,0,8,-126.879
1.01893,7,0,13,-89.2158
1.01893,1,0,19,-100.832
1.01893,7,0,14,-84.1597
1.01893,5,0,12,-109.288
1.01893,3,0,11,-111.5
1.01893,1,0,20,-107.847
1.01893,7,0,18,-85.1659
1.01893,5,0,15,-113.52
1.01993,7,0,3,-120.197
1.01993,7,0,4,-81.6329
1.01993,5,0,1,-112.307
1.01993,1,0,10,-111.752
1.01993,3,0,5,-87.0235
1.01993,7,0,6,-113.633
1.01993,5,0,2,-76.9895
1.01993,1,0,16,-110.959
1.01993,7,0,9,-116.719
1.01993,3,0,7,-113.567
1.01993,1,0,17,-110.39
1.01993,5,0,8,-126.89
1.01993,7,0,13,-89.1498
1.01993,1,0,19,-100.749
1.01993,7,0,14,-84.1263
1.01993,5,0,12,-109.25
1.01993,3,0,11,-111.436
1.01993,1,0,20,-107.867
1.01993,7,0,18,-85.159
1.01993,5,0,15,-113.538
1.02093,7,0,3,-120.163
1.02093,7,0,4,-81.6341
1.02093,5,0,1,-112.266
1.02093,1,0,10,-111.714
1.02093,3,0,5,-86.9211
1.02093,7,0,6,-113.67
1.02093,5,0,2,-77.0199
1.02093,1,0,16,-110.944
1.02093,7,0,9,-116.719
1.02093,3,0,7,-113.547
1.02093,1,0,17,-110.345
1.02093,5,0,8,-126.895
1.02093,7,0,13,-89.1681
1.02093,1,0,19,-100.763
1.02093,7,0,14,-84.1055
1.02093,5,0,12,-109.229
1.02093,3,0,11,-111.467
1.02093,1,0,20,-107.864
1.02093,7,0,18,-85.242
1.02093,5,0,15,-113.485
1.02186,7,0,6,-113.626
1.02186,1,0,20,-107.882
1.02193,7,0,3,-120.245
1.02193,7,0,4,-81.6048
1.02193,5,0,1,-112.237
1.02193,1,0,10,-111.664
1.02193,3,0,5,-86.9573
1.02193,1,0,16,-110.988
1.02193,7,0,9,-116.728
1.02193,5,0,2,-77.0627
1.02193,1,0,17,-110.359
1.02193,7,0,13,-89.1819
1.02193,3,0,7,-113.554
1.02193,5,0,8,-126.859
1.02193,1,0,19,-100.658
1.02193,7,0,14,-84.1658
1.02193,5,0,12,-109.344
1.02193,7,0,18,-85.2025
1.02193,3,0,11,-111.384
1.02193,5,0,15,-113.509
1.02193,7,0,6,-113.658
1.02193,1,0,20,-107.9
1.02293,7,0,3,-120.231
1.02293,7,0,4,-81.6099
1.02293,5,0,1,-112.186
1.02293,1,0,10,-111.654
1.02293,3,0,5,-86.8969
1.02293,7,0,6,-113.707
1.02293,1,0,16,-111.024
1.02293,5,0,2,-77.0954
1.02293,7,0,9,-116.833
1.02293,3,0,7,-113.585
1.02293,1,0,17,-110.328
1.02293,7,0,13,-89.2195
1.02293,5,0,8,-126.917
1.02293,1,0,19,-100.736
1.02293,7,0,14,-84.1525
1.02293,5,0,12,-109.348
1.02293,3,0,11,-111.47
1.02293,7,0,18,-85.2348
1.02293,5,0,15,-113.436
1.02293,1,0,20,-107.901
1.02386,5,0,2,-77.1504
1.02386,3,0,11,-111.471
1.02393,7,0,3,-120.263
1.02393,7,0,4,-81.6203
1.02393,5,0,1,-112.247
1.02393,1,0,10,-111.562
1.02393,3,0,5,-86.8919
1.02393,7,0,6,-113.706
1.02393,1,0,16,-110.972
1.02393,7,0,9,-116.835
1.02393,3,0,7,-113.607
1.02393,5,0,8,-126.885
1.02393,1,0,17,-110.239
1.02393,7,0,13,-89.1622
1.02393,5,0,12,-109.29
1.02393,1,0,19,-100.645
1.02393,7,0,14,-84.1815
1.02393,5,0,15,-113.45
1.02393,7,0,18,-85.1818
1.02393,1,0,20,-107.94
1.02393,5,0,2,-77.1528
1.02393,3,0,11,-111.475
1.02493,1,0,10,-111.474
1.02493,1,0,17,-110.315
1.02493,1,0,19,-100.608
1.02493,1,0,20,-107.959
1.02493,7,0,3,-120.306
1.02493,7,0,4,-81.5773
1.02493,5,0,1,-112.22
1.02493,3,0,5,-86.7875
1.02493,7,0,6,-113.638
1.02493,5,0,2,-77.111
1.02493,7,0,9,-116.81
1.02493,3,0,7,-113.666
1.02493,5,0,8,-126.912
1.02493,7,0,13,-89.1493
1.02493,5,0,12,-109.324
1.02493,7,0,14,-84.2266
1.02493,1,0,16,-110.976
1.02493,3,0,11,-111.441
1.02493,5,0,15,-113.409
1.02493,7,0,18,-85.143
1.02593,7,0,3,-120.314
1.02593,7,0,4,-81.5922
1.02593,1,0,10,-111.472
1.02593,5,0,1,-112.388
1.02593,3,0,5,-86.7417
1.02593,7,0,6,-113.64
1.02593,5,0,2,-77.174
1.02593,1,0,16,-110.915
1.02593,7,0,9,-116.883
1.02593,3,0,7,-113.583
1.02593,1,0,17,-110.306
1.02593,5,0,8,-126.883
1.02593,7,0,13,-89.1945
1.02593,1,0,19,-100.667
1.02593,5,0,12,-109.2
1.02593,7,0,14,-84.2839
1.02593,3,0,11,-111.418
1.02593,1,0,20,-107.998
1.02593,5,0,15,-113.457
1.02593,7,0,18,-85.0822
1.02693,7,0,3,-120.332
1.02693,7,0,4,-81.59
1.02693,7,0,9,-116.833
1.02693,7,0,13,-89.1084
1.02693,7,0,14,-84.3125
1.02693,7,0,18,-85.0391
1.02693,1,0,10,-111.533
1.02693,5,0,1,-112.48
1.02693,3,0,5,-86.8014
1.02693,5,0,2,-77.2669
1.02693,1,0,16,-110.99
1.02693,3,0,7,-113.477
1.02693,1,0,17,-110.138
1.02693,5,0,8,-126.894
1.02693,1,0,19,-100.744
1.02693,5,0,12,-109.319
1.02693,7,0,6,-113.721
1.02693,3,0,11,-111.503
1.02693,1,0,20,-107.978
1.02693,5,0,15,-113.454
1.02793,7,0,3,-120.276
1.02793,7,0,4,-81.6206
1.02793,1,0,10,-111.52
1.02793,5,0,1,-112.5
1.02793,3,0,5,-86.7916
1.02793,7,0,6,-113.708
1.02793,5,0,2,-77.2706
1.02793,1,0,16,-111.076
1.02793,7,0,9,-116.94
1.02793,3,0,7,-113.567
1.02793,7,0,13,-89.0736
1.02793,1,0,17,-110.089
1.02793,5,0,8,-126.862
1.02793,7,0,14,-84.3206
1.02793,1,0,19,-100.727
1.02793,5,0,12,-109.488
1.02793,3,0,11,-111.519
1.02793,7,0,18,-85.0766
1.02793,1,0,20,-108.009
1.02793,5,0,15,-113.412
1.02893,7,0,3,-120.228
1.02893,7,0,4,-81.5982
1.02893,3,0,5,-86.7609
1.02893,7,0,13,-89.096
1.02893,7,0,14,-84.3347
1.02893,3,0,11,-111.517
1.02893,7,0,18,-85.0061
1.02893,1,0,10,-111.611
1.02893,5,0,1,-112.494
1.02893,5,0,2,-77.2743
1.02893,1,0,16,-110.973
1.02893,1,0,17,-110.165
1.02893,5,0,8,-126.879
1.02893,1,0,19,-100.759
1.02893,5,0,12,-109.468
1.02893,7,0,6,-113.812
1.02893,7,0,9,-117.011
1.02893,3,0,7,-113.551
1.02893,1,0,20,-108.111
1.02893,5,0,15,-113.409
1.02993,7,0,3,-120.217
1.02993,7,0,4,-81.6425
1.02993,1,0,10,-111.691
1.02993,5,0,1,-112.489
1.02993,3,0,5,-86.7655
1.02993,7,0,6,-113.925
1.02993,5,0,2,-77.2933
1.02993,1,0,16,-110.931
1.02993,7,0,9,-117.013
1.02993,3,0,7,-113.504
1.02993,7,0,13,-89.0593
1.02993,1,0,17,-110.193
1.02993,5,0,8,-126.736
1.02993,7,0,14,-84.3233
1.02993,1,0,19,-100.751
1.02993,5,0,12,-109.503
1.02993,3,0,11,-111.587
1.02993,7,0,18,-84.925
1.02993,1,0,20,-108.055
1.02993,5,0,15,-113.404
1.03086,3,0,7,-113.582
1.03093,7,0,3,-120.119
1.03093,7,0,4,-81.6597
1.03093,1,0,10,-111.855
1.03093,5,0,1,-112.373
1.03093,3,0,5,-86.7344
1.03093,7,0,6,-113.982
1.03093,5,0,2,-77.3106
1.03093,1,0,16,-110.878
1.03093,7,0,9,-117.059
1.03093,7,0,13,-89.0835
1.03093,1,0,17,-110.219
1.03093,5,0,8,-126.798
1.03093,7,0,14,-84.3004
1.03093,1,0,19,-100.74
1.03093,5,0,12,-109.438
1.03093,3,0,11,-111.575
1.03093,7,0,18,-84.9426
1.03093,1,0,20,-108.014
1.03093,5,0,15,-113.407
1.03093,3,0,7,-113.56
1.03193,7,0,3,-120.171
1.03193,7,0,4,-81.6052
1.03193,1,0,10,-111.891
1.03193,5,0,1,-112.315
1.03193,3,0,5,-86.6749
1.03193,7,0,6,-114.03
1.03193,5,0,2,-77.2401
1.03193,1,0,16,-110.784
1.03193,7,0,9,-117.148
1.03193,3,0,7,-113.582
1.03193,7,0,13,-89.0785
1.03193,1,0,17,-110.208
1.03193,5,0,8,-126.859
1.03193,7,0,14,-84.3007
1.03193,1,0,19,-100.741
1.03193,5,0,12,-109.45
1.03193,3,0,11,-111.515
1.03193,7,0,18,-84.9398
1.03193,1,0,20,-107.831
1.03193,5,0,15,-113.324
1.03293,5,0,1,-112.393
1.03293,3,0,5,-86.7099
1.03293,5,0,2,-77.2039
1.03293,5,0,12,-109.417
1.03293,3,0,11,-111.585
1.03293,7,0,3,-120.125
1.03293,7,0,4,-81.6603
1.03293,1,0,10,-111.916
1.03293,7,0,6,-113.993
1.03293,1,0,16,-110.772
1.03293,7,0,9,-117.133
1.03293,7,0,13,-89.0377
1.03293,1,0,17,-110.215
1.03293,7,0,14,-84.2669
1.03293,1,0,19,-100.674
1.03293,3,0,7,-113.659
1.03293,5,0,8,-126.826
1.03293,5,0,15,-113.271
1.03293,7,0,18,-85.0063
1.03293,1,0,20,-107.876
1.03393,5,0,2,-77.2324
1.03393,5,0,12,-109.372
1.03393,5,0,8,-126.819
1.03393,5,0,15,-113.21
1.03393,7,0,3,-120.111
1.03393,7,0,4,-81.6092
1.03393,1,0,10,-111.892
1.03393,3,0,5,-86.7082
1.03393,7,0,6,-114.077
1.03393,1,0,16,-110.777
1.03393,7,0,9,-117.16
1.03393,3,0,7,-113.669
1.03393,7,0,13,-89.0778
1.03393,1,0,17,-110.07
1.03393,7,0,14,-84.2057
1.03393,1,0,19,-100.637
1.03393,5,0,1,-112.385
1.03393,3,0,11,-111.681
1.03393,7,0,18,-85.0254
1.03393,1,0,20,-107.871
1.03493,5,0,2,-77.2454
1.03493,5,0,12,-109.358
1.03493,5,0,8,-126.892
1.03493,1,0,10,-111.839
1.03493,1,0,17,-110.095
1.03493,1,0,19,-100.682
1.03493,5,0,1,-112.406
1.03493,1,0,20,-107.948
1.03493,7,0,3,-120.028
1.03493,7,0,4,-81.6841
1.03493,3,0,5,-86.6557
1.03493,7,0,6,-114.042
1.03493,7,0,9,-117.138
1.03493,3,0,7,-113.709
1.03493,7,0,13,-88.9602
1.03493,7,0,14,-84.1804
1.03493,5,0,15,-113.089
1.03493,1,0,16,-110.766
1.03493,3,0,11,-111.576
1.03493,7,0,18,-85.0557
1.03593,5,0,8,-126.848
1.03593,1,0,10,-111.838
1.03593,1,0,17,-110.126
1.03593,1,0,19,-100.645
1.03593,1,0,20,-107.944
1.03593,7,0,4,-81.754
1.03593,3,0,5,-86.6646
1.03593,7,0,13,-88.9233
1.03593,7,0,14,-84.1371
1.03593,5,0,15,-113.061
1.03593,3,0,11,-111.603
1.03593,7,0,18,-85.1318
1.03593,5,0,1,-112.269
1.03593,7,0,3,-120.045
1.03593,7,0,6,-114.107
1.03593,7,0,9,-117.137
1.03593,3,0,7,-113.733
1.03593,1,0,16,-110.766
1.03693,7,0,4,-81.8135
1.03693,7,0,13,-88.8925
1.03693,7,0,14,-84.1439
1.03693,7,0,18,-85.2023
1.03693,7,0,3,-120.073
1.03693,7,0,6,-114.135
1.03693,1,0,10,-111.817
1.03693,5,0,1,-112.298
1.03693,3,0,5,-86.6554
1.03693,1,0,16,-110.826
1.03693,3,0,7,-113.607
1.03693,1,0,17,-110.157
1.03693,1,0,19,-100.633
1.03693,7,0,9,-117.127
1.03693,3,0,11,-111.526
1.03693,1,0,20,-107.937
1.03693,5,0,15,-113.042
1.03793,7,0,4,-81.8218
1.03793,7,0,13,-88.9365
1.03793,7,0,14,-84.1707
1.03793,7,0,18,-85.1455
1.03793,7,0,3,-120.095
1.03793,1,0,16,-110.782
1.03793,5,0,1,-112.358
1.03793,3,0,5,-86.6489
1.03793,3,0,7,-113.611
1.03793,7,0,6,-114.082
1.03793,7,0,9,-117.153
1.03793,3,0,11,-111.562
1.03793,5,0,15,-113.085
1.03886,5,0,1,-112.319
1.03893,7,0,3,-120.017
1.03893,7,0,6,-114.04
1.03893,1,0,10,-111.79
1.03893,3,0,5,-86.7182
1.03893,5,0,2,-77.2218
1.03893,1,0,16,-110.75
1.03893,5,0,8,-126.904
1.03893,3,0,7,-113.637
1.03893,1,0,17,-110.123
1.03893,5,0,12,-109.402
1.03893,1,0,19,-100.695
1.03893,5,0,15,-113.04
1.03893,7,0,9,-117.132
1.03893,3,0,11,-111.659
1.03893,1,0,20,-107.947
1.03893,5,0,1,-112.307
1.03993,7,0,6,-114.08
1.03993,1,0,10,-111.785
1.03993,5,0,1,-112.285
1.03993,3,0,5,-86.6559
1.03993,5,0,2,-77.3249
1.03993,1,0,16,-110.635
1.03993,3,0,7,-113.633
1.03993,5,0,8,-126.91
1.03993,1,0,17,-110.066
1.03993,5,0,12,-109.309
1.03993,1,0,19,-100.686
1.03993,7,0,9,-117.128
1.03993,3,0,11,-111.605
1.03993,5,0,15,-112.989
1.03993,1,0,20,-107.933
1.04093,1,0,10,-111.923
1.04093,5,0,1,-112.364
1.04093,3,0,5,-86.6447
1.04093,7,0,6,-114.062
1.04093,5,0,2,-77.356
1.04093,1,0,16,-110.501
1.04093,7,0,9,-117.089
1.04093,3,0,7,-113.604
1.04093,5,0,8,-126.787
1.04093,1,0,17,-110.08
1.04093,5,0,12,-109.221
1.04093,1,0,19,-100.702
1.04093,3,0,11,-111.556
1.04093,5,0,15,-113.027
1.04093,1,0,20,-107.959
1.04193,5,0,1,-112.329
1.04193,5,0,2,-77.3533
1.04193,5,0,15,-112.978
1.04193,1,0,10,-111.911
1.04193,3,0,5,-86.6454
1.04193,1,0,16,-110.585
1.04193,7,0,9,-117.06
1.04193,3,0,7,-113.657
1.04193,1,0,17,-110.002
1.04193,1,0,19,-100.674
1.04193,5,0,8,-126.833
1.04193,5,0,12,-109.192
1.04193,3,0,11,-111.449
1.04193,1,0,20,-108
1.04286,7,0,14,-84.0023
1.04293,5,0,1,-112.368
1.04293,5,0,2,-77.4146
1.04293,5,0,15,-113.021
1.04293,5,0,8,-126.868
1.04293,7,0,3,-119.973
1.04293,7,0,4,-81.9568
1.04293,1,0,10,-111.942
1.04293,7,0,6,-114.067
1.04293,3,0,5,-86.6506
1.04293,7,0,9,-117.064
1.04293,1,0,16,-110.501
1.04293,7,0,13,-89.0829
1.04293,3,0,7,-113.622
1.04293,1,0,17,-110.055
1.04293,1,0,19,-100.669
1.04293,7,0,18,-85.1459
1.04293,5,0,12,-109.126
1.04293,3,0,11,-111.467
1.04293,1,0,20,-107.982
1.04393,5,0,1,-112.329
1.04393,5,0,2,-77.4059
1.04393,5,0,8,-126.866
1.04393,7,0,3,-120.026
1.04393,7,0,4,-81.9918
1.04393,1,0,10,-111.99
1.04393,3,0,5,-86.6523
1.04393,7,0,6,-114.077
1.04393,1,0,16,-110.557
1.04393,7,0,9,-117.067
1.04393,3,0,7,-113.66
1.04393,7,0,13,-89.0563
1.04393,1,0,17,-110.064
1.04393,1,0,19,-100.635
1.04393,7,0,14,-84.0538
1.04393,5,0,15,-113.009
1.04393,5,0,12,-109.14
1.04393,3,0,11,-111.407
1.04393,7,0,18,-85.1165
1.04393,1,0,20,-107.942
1.04493,5,0,8,-126.859
1.04493,3,0,5,-86.6488
1.04493,3,0,7,-113.716
1.04493,7,0,3,-120.017
1.04493,7,0,4,-82.0413
1.04493,1,0,10,-111.995
1.04493,7,0,6,-114.124
1.04493,1,0,16,-110.621
1.04493,7,0,9,-117.077
1.04493,7,0,13,-89.039
1.04493,1,0,17,-110.046
1.04493,1,0,19,-100.645
1.04493,7,0,14,-84.0119
1.04493,5,0,12,-109.046
1.04493,3,0,11,-111.429
1.04493,7,0,18,-85.0891
1.04493,1,0,20,-107.87
