time(s),cellId,rnti,lcid,packetSize
1.037,6,5,3,16919
1.037,6,4,3,23949
1.037,6,3,3,458
1.037,6,2,3,9544
1.037,6,1,3,15967
1.038,2,5,3,23949
1.038,2,4,3,23949
1.038,2,3,3,15967
1.038,2,2,3,15967
1.038,2,1,3,15967
1.038,4,3,3,31934
1.038,4,2,3,26031
1.038,4,1,3,29503
1.038,6,5,3,16919
1.038,6,4,3,23949
1.038,6,3,3,458
1.038,6,2,3,9544
1.038,6,1,3,13014
1.038,8,7,3,5638
1.038,8,6,3,7982
1.038,8,5,3,11280
1.038,8,4,3,7807
1.038,8,3,3,15967
1.038,8,2,3,15967
1.038,8,1,3,15967
1.039,2,5,3,23949
1.039,2,4,3,23949
1.039,2,3,3,15967
1.039,2,2,3,15967
1.039,2,1,3,15967
1.039,4,3,3,31934
1.039,4,2,3,19091
1.039,4,1,3,29503
1.039,8,7,3,3902
1.039,8,6,3,7982
1.039,8,5,3,9544
1.039,8,4,3,1733
1.039,8,3,3,15967
1.039,8,2,3,15967
1.039,8,1,3,15967
1.04,2,5,3,23949
1.04,2,4,3,22128
1.04,2,3,3,15967
1.04,2,2,3,15967
1.04,2,1,3,15967
1.04,4,3,3,31934
1.04,4,2,3,22561
1.04,4,1,3,15618
1.04,8,7,3,3902
1.04,8,6,3,7982
1.04,8,5,3,4770
1.04,8,4,3,14750
1.04,8,3,3,15967
1.04,8,2,3,15967
1.04,8,1,3,15967
1.041,2,5,3,23949
1.041,2,4,3,22128
1.041,2,3,3,15967
1.041,2,2,3,15967
1.041,2,1,3,15967
1.041,4,3,3,31934
1.041,4,2,3,26031
1.041,4,1,3,15618
1.041,8,7,3,3902
1.041,8,6,3,7982
1.041,8,5,3,5551
1.041,8,4,3,7807
1.041,8,3,3,15967
1.041,8,2,3,15967
1.041,8,1,3,15967
1.042,2,5,3,23949
1.042,2,4,3,22128
1.042,2,3,3,15967
1.042,2,2,3,15967
1.042,2,1,3,15967
1.042,8,7,3,3902
1.042,8,6,3,7982
1.042,8,5,3,5551
1.042,8,4,3,14750
1.042,8,3,3,15967
1.042,8,2,3,15967
1.042,8,1,3,15967
1.044,6,5,3,14317
1.044,6,4,3,23949
1.044,6,3,3,1097
1.044,6,2,3,9544
1.044,6,1,3,7807
1.045,4,3,3,31934
1.045,4,2,3,22561
1.045,4,1,3,22561
1.045,6,5,3,14317
1.045,6,4,3,23949
1.045,6,3,3,1097
1.045,6,2,3,15967
1.045,6,1,3,7807
1.046,6,5,3,14317
1.046,6,4,3,23949
1.046,6,3,3,1097
1.046,6,2,3,15967
1.046,6,1,3,7807
1.047,4,3,3,31934
1.047,4,2,3,22561
1.047,4,1,3,26031
1.047,6,5,3,14317
1.047,6,4,3,23949
1.047,6,3,3,1097
1.047,6,2,3,15967
1.047,6,1,3,15967
1.048,2,5,3,19524
1.048,2,4,3,19524
1.048,2,3,3,15967
1.048,2,2,3,15967
1.048,2,1,3,15967
1.048,4,3,3,31934
1.048,4,2,3,22561
1.048,4,1,3,22561
1.048,6,5,3,11713
1.048,6,4,3,23949
1.048,6,3,3,1097
1.048,6,2,3,9544
1.048,6,1,3,15967
1.049,2,5,3,19524
1.049,2,4,3,23949
1.049,2,3,3,15967
1.049,2,2,3,15967
1.049,2,1,3,15967
1.049,4,3,3,31934
1.049,4,2,3,19091
1.049,4,1,3,22561
1.049,6,5,3,6419
1.049,6,4,3,23949
1.049,6,3,3,1097
1.049,6,2,3,9544
1.049,6,1,3,7807
1.049,8,7,3,2775
1.049,8,6,3,7982
1.049,8,5,3,9544
1.049,8,4,3,1733
1.049,8,3,3,15967
1.049,8,2,3,15967
1.049,8,1,3,15967
1.05,2,5,3,22128
1.05,2,4,3,23949
1.05,2,3,3,15967
1.05,2,2,3,15967
1.05,2,1,3,15967
1.05,8,7,3,5638
1.05,8,6,3,7982
1.05,8,5,3,9544
1.05,8,4,3,1733
1.05,8,3,3,15967
1.05,8,2,3,15967
1.05,8,1,3,15967
1.051,2,5,3,23949
1.051,2,4,3,22128
1.051,2,3,3,15967
1.051,2,2,3,15967
1.051,2,1,3,15967
1.051,4,3,3,31934
1.051,4,2,3,22561
1.051,4,1,3,15618
1.052,2,5,3,23949
1.052,2,4,3,23949
1.052,2,3,3,15967
1.052,2,2,3,15967
1.052,2,1,3,15967
1.053,2,5,3,23949
1.053,2,4,3,23949
1.053,2,3,3,15967
1.053,2,2,3,15967
1.053,2,1,3,15967
1.053,6,5,3,16919
1.053,6,4,3,23949
1.053,6,3,3,1097
1.053,6,2,3,9544
1.053,6,1,3,11280
1.053,8,7,3,5638
1.053,8,6,3,7982
1.053,8,5,3,5551
1.053,8,4,3,1733
1.053,8,3,3,15967
1.053,8,2,3,15967
1.053,8,1,3,15967
1.054,6,5,3,16919
1.054,6,4,3,23949
1.054,6,3,3,1097
1.054,6,2,3,9544
1.054,6,1,3,15967
1.055,4,3,3,31934
1.055,4,2,3,22561
1.055,4,1,3,15618
1.055,6,5,3,14317
1.055,6,4,3,23949
1.055,6,3,3,1097
1.055,6,2,3,9544
1.055,6,1,3,7807
1.056,4,3,3,31934
1.056,4,2,3,22561
1.056,4,1,3,22561
1.056,6,5,3,14317
1.056,6,4,3,23949
1.056,6,3,3,1097
1.056,6,2,3,14750
1.056,6,1,3,7807
1.056,8,7,3,2139
1.056,8,6,3,7982
1.056,8,5,3,5551
1.056,8,4,3,5551
1.056,8,3,3,15967
1.056,8,2,3,15967
1.056,8,1,3,15967
1.057,4,3,3,31934
1.057,4,2,3,22561
1.057,4,1,3,26031
1.057,8,7,3,2139
1.057,8,6,3,7982
1.057,8,5,3,5551
1.057,8,4,3,9544
1.057,8,3,3,15967
1.057,8,2,3,15967
1.057,8,1,3,15967
1.058,4,3,3,31934
1.058,4,2,3,22561
1.058,4,1,3,22561
1.059,2,5,3,22128
1.059,2,4,3,22128
1.059,2,3,3,15967
1.059,2,2,3,15967
1.059,2,1,3,15967
1.059,4,3,3,31934
1.059,4,2,3,22561
1.059,4,1,3,26031
1.059,8,7,3,2139
1.059,8,6,3,7982
1.059,8,5,3,6939
1.059,8,4,3,6939
1.059,8,3,3,15967
1.059,8,2,3,15967
1.059,8,1,3,15967
1.06,2,5,3,22128
1.06,2,4,3,23949
1.06,2,3,3,15967
1.06,2,2,3,15967
1.06,2,1,3,15967
1.06,4,3,3,31934
1.06,4,2,3,22561
1.06,4,1,3,26031
1.06,6,5,3,16919
1.06,6,4,3,23949
1.06,6,3,3,4279
1.06,6,2,3,11280
1.06,6,1,3,13014
1.06,8,7,3,4770
1.06,8,6,3,7982
1.06,8,5,3,6939
1.06,8,4,3,6939
1.06,8,3,3,15967
1.06,8,2,3,15967
1.06,8,1,3,15967
1.061,2,5,3,22128
1.061,2,4,3,23949
1.061,2,3,3,15967
1.061,2,2,3,15967
1.061,2,1,3,15967
1.061,8,7,3,5638
1.061,8,6,3,7982
1.061,8,5,3,11280
1.061,8,4,3,6939
1.061,8,3,3,15967
1.061,8,2,3,15967
1.061,8,1,3,15967
1.062,2,5,3,23949
1.062,2,4,3,23949
1.062,2,3,3,15967
1.062,2,2,3,15967
1.062,2,1,3,15967
1.062,4,3,3,31934
1.062,4,2,3,26031
1.062,4,1,3,15618
1.062,6,5,3,16919
1.062,6,4,3,23949
1.062,6,3,3,1097
1.062,6,2,3,9544
1.062,6,1,3,7807
1.063,2,5,3,22128
1.063,2,4,3,22128
1.063,2,3,3,15967
1.063,2,2,3,15967
1.063,2,1,3,15967
1.063,4,3,3,31934
1.063,4,2,3,22561
1.063,4,1,3,26031
1.063,6,5,3,16919
1.063,6,4,3,15967
1.063,6,3,3,1097
1.063,6,2,3,15967
1.063,6,1,3,7807
1.063,8,7,3,4770
1.063,8,6,3,7982
1.063,8,5,3,9544
1.063,8,4,3,6939
1.063,8,3,3,15967
1.063,8,2,3,15967
1.063,8,1,3,15967
1.064,4,3,3,31934
1.064,4,2,3,22561
1.064,4,1,3,22561
1.064,6,5,3,14317
1.064,6,4,3,23949
1.064,6,3,3,1097
1.064,6,2,3,15967
1.064,6,1,3,13014
1.066,4,3,3,31934
1.066,4,2,3,22561
