Time(sec),CellId,BwpId,IMSI,pathLoss(dB)
1.02093,5,0,12,-127.293
1.02093,3,0,11,-129.531
1.02093,1,0,20,-125.929
1.02093,7,0,18,-103.306
1.02093,5,0,15,-131.549
1.02186,7,0,6,-131.69
1.02186,1,0,20,-125.946
1.02193,7,0,3,-138.309
1.02193,7,0,4,-99.6691
1.02193,5,0,1,-130.301
1.02193,1,0,10,-129.728
1.02193,3,0,5,-105.022
1.02193,1,0,16,-129.052
1.02193,7,0,9,-134.792
1.02193,5,0,2,-95.127
1.02193,1,0,17,-128.424
1.02193,7,0,13,-107.246
1.02193,3,0,7,-131.618
1.02193,5,0,8,-144.924
1.02193,1,0,19,-118.723
1.02193,7,0,14,-102.23
1.02193,5,0,12,-127.408
1.02193,7,0,18,-103.267
1.02193,3,0,11,-129.448
1.02193,5,0,15,-131.573
1.02193,7,0,6,-131.722
1.02193,1,0,20,-125.964
1.02293,7,0,3,-138.296
1.02293,7,0,4,-99.6742
1.02293,5,0,1,-130.25
1.02293,1,0,10,-129.718
1.02293,3,0,5,-104.961
1.02293,7,0,6,-131.771
1.02293,1,0,16,-129.088
1.02293,5,0,2,-95.1597
1.02293,7,0,9,-134.897
1.02293,3,0,7,-131.65
1.02293,1,0,17,-128.392
1.02293,7,0,13,-107.284
1.02293,5,0,8,-144.981
1.02293,1,0,19,-118.8
1.02293,7,0,14,-102.217
1.02293,5,0,12,-127.413
1.02293,3,0,11,-129.535
1.02293,7,0,18,-103.299
1.02293,5,0,15,-131.5
1.02293,1,0,20,-125.965
1.02386,5,0,2,-95.2147
1.02386,3,0,11,-129.535
1.02393,7,0,3,-138.327
1.02393,7,0,4,-99.6846
1.02393,5,0,1,-130.311
1.02393,1,0,10,-129.626
1.02393,3,0,5,-104.956
1.02393,7,0,6,-131.77
1.02393,1,0,16,-129.036
1.02393,7,0,9,-134.899
1.02393,3,0,7,-131.671
1.02393,5,0,8,-144.95
1.02393,1,0,17,-128.304
1.02393,7,0,13,-107.226
1.02393,5,0,12,-127.354
1.02393,1,0,19,-118.709
1.02393,7,0,14,-102.246
1.02393,5,0,15,-131.515
1.02393,7,0,18,-103.246
1.02393,1,0,20,-126.004
1.02393,5,0,2,-95.2171
1.02393,3,0,11,-129.539
1.02493,3,0,5,-104.893
1.02493,3,0,7,-131.774
1.02493,7,0,3,-138.365
1.02493,7,0,4,-99.6735
1.02493,5,0,1,-130.419
1.02493,1,0,10,-129.638
1.02493,7,0,6,-131.774
1.02493,1,0,16,-129.159
1.02493,5,0,2,-95.2124
1.02493,7,0,9,-134.891
1.02493,5,0,8,-144.837
1.02493,1,0,17,-128.253
1.02493,7,0,13,-107.246
1.02493,5,0,12,-127.371
1.02493,1,0,19,-118.669
1.02493,7,0,14,-102.258
1.02493,3,0,11,-129.527
1.02493,5,0,15,-131.512
1.02493,7,0,18,-103.192
1.02493,1,0,20,-125.975
