Time,CellId,RNTI,BWPId,SINR(dB)
1.02693,2,1,0,37.9489
1.02693,6,1,0,30.7492
1.02714,8,7,0,17.8492
1.02721,8,6,0,69.914
1.02729,2,5,0,33.5404
1.02729,6,5,0,18.8122
1.02736,4,3,0,50.6344
1.02736,8,5,0,21.8308
1.0275,2,4,0,31.344
1.0275,6,4,0,71.6832
1.0275,8,4,0,23.7279
1.02764,4,2,0,26.6375
1.02764,2,3,0,35.6885
1.02764,6,3,0,7.67715
1.02764,8,3,0,59.9815
1.02779,2,2,0,44.5765
1.02779,6,2,0,26.2251
1.02779,8,2,0,66.8428
1.02793,4,1,0,22.6012
1.02793,2,1,0,37.9571
1.02793,6,1,0,29.5498
1.02793,8,1,0,60.7448
1.02829,2,5,0,33.5372
1.02829,6,5,0,19.2956
1.02836,4,3,0,50.1371
1.0285,2,4,0,31.6768
1.0285,6,4,0,71.6772
1.02864,4,2,0,26.6373
1.02864,2,3,0,35.4105
1.02864,6,3,0,7.94867
1.02879,2,2,0,44.2093
1.02879,6,2,0,25.4734
1.02893,8,4,0,20.7982
1.02893,4,1,0,22.7471
1.02893,2,1,0,37.9351
1.02893,6,1,0,30.6699
1.02914,8,7,0,18.1759
1.02921,8,6,0,69.9573
1.02929,2,5,0,33.5613
1.02936,4,3,0,50.2431
1.02936,8,5,0,21.6103
1.0295,2,4,0,31.3626
1.0295,8,4,0,23.1476
1.02964,4,2,0,26.5446
1.02964,2,3,0,35.5983
1.02964,8,3,0,60.1269
1.02979,2,2,0,44.4431
1.02979,8,2,0,67.23
1.02993,6,5,0,20.7433
1.02993,4,1,0,33.6333
1.02993,2,1,0,37.5576
1.02993,8,1,0,61.1379
1.03014,8,7,0,17.7686
1.03021,8,6,0,69.9139
1.03029,2,5,0,33.6797
1.03029,4,3,0,51.5579
1.03029,6,5,0,18.7888
1.03036,8,5,0,21.7927
1.0305,2,4,0,32.1694
1.0305,6,4,0,71.7102
1.0305,8,4,0,23.7247
1.03057,4,2,0,26.2537
1.03064,2,3,0,35.5905
1.03064,6,3,0,7.97091
1.03064,8,3,0,60.3465
1.03079,2,2,0,44.3866
1.03079,6,2,0,26.0013
1.03079,8,2,0,66.7291
1.03086,4,1,0,23.456
1.03093,2,1,0,37.9843
1.03093,6,1,0,30.043
1.03093,8,1,0,62.5022
1.03114,8,7,0,17.7536
1.03121,8,6,0,69.8994
1.03129,2,5,0,33.7951
1.03129,6,5,0,18.7862
1.03136,4,3,0,51.6879
1.03136,8,5,0,21.5906
1.0315,2,4,0,31.2997
1.0315,6,4,0,71.7134
1.0315,8,4,0,23.6781
1.03164,4,2,0,26.5261
1.03164,2,3,0,35.5907
1.03164,6,3,0,7.86414
1.03164,8,3,0,60.1865
1.03179,2,2,0,44.4531
1.03179,6,2,0,25.9384
1.03179,8,2,0,66.676
1.03193,4,1,0,22.6154
1.03193,2,1,0,37.7969
1.03193,6,1,0,29.6946
1.03193,8,1,0,60.6498
1.03214,8,7,0,17.6548
1.03221,8,6,0,69.7533
1.03229,2,5,0,36.5152
1.03236,8,5,0,21.6497
1.0325,2,4,0,31.6462
1.0325,8,4,0,23.9061
1.03264,2,3,0,35.6184
1.03264,8,3,0,61.2974
1.03279,2,2,0,44.5072
1.03279,8,2,0,66.9445
1.03293,4,2,0,24.0028
1.03293,6,1,0,32.5834
1.03293,2,1,0,38.0333
1.03293,8,1,0,62.9585
1.03314,8,7,0,17.6198
1.03321,8,6,0,69.8081
1.03329,2,5,0,33.9668
1.03329,6,5,0,18.8078
1.03336,4,3,0,51.6932
1.03336,8,5,0,21.7304
1.0335,2,4,0,31.225
1.0335,6,4,0,71.581
1.0335,8,4,0,23.7711
1.03364,4,2,0,26.4841
1.03364,2,3,0,35.4356
1.03364,6,3,0,7.9951
1.03364,8,3,0,60.2349
1.03379,2,2,0,44.5676
1.03379,6,2,0,25.9834
1.03379,8,2,0,66.6234
1.03393,4,1,0,22.6838
1.03393,2,1,0,37.8222
1.03393,6,1,0,29.696
1.03393,8,1,0,60.604
1.03414,8,7,0,17.6719
1.03421,8,6,0,69.7188
1.03429,2,5,0,34.0355
1.03429,6,5,0,18.7915
1.03436,4,3,0,51.8062
1.03436,8,5,0,21.6876
1.0345,2,4,0,31.2087
1.0345,6,4,0,71.5529
1.0345,8,4,0,23.782
1.03464,4,2,0,26.4848
1.03464,2,3,0,35.4291
1.03464,6,3,0,7.95507
1.03464,8,3,0,60.2267
1.03479,2,2,0,44.5302
1.03479,6,2,0,26.1444
1.03479,8,2,0,66.6378
1.03493,4,1,0,22.7118
1.03493,2,1,0,37.8436
1.03493,6,1,0,29.7873
1.03493,8,1,0,60.5901
1.03514,8,7,0,17.8134
1.03521,8,6,0,69.4368
1.03529,2,5,0,36.219
1.03536,8,5,0,21.4293
1.0355,2,4,0,31.7612
1.0355,8,4,0,23.6952
1.03564,2,3,0,35.379
1.03564,8,3,0,61.4349
1.03579,2,2,0,44.5603
1.03579,8,2,0,67.1013
1.03593,4,1,0,28.3152
1.03593,6,2,0,24.8793
1.03593,2,1,0,37.7871
1.03593,8,1,0,62.9467
1.03614,8,7,0,17.3617
1.03621,8,6,0,69.7775
1.03629,2,5,0,34.1825
1.03629,6,5,0,18.8265
1.03636,4,3,0,51.6363
1.03636,8,5,0,21.6905
1.0365,2,4,0,31.0676
1.0365,6,4,0,71.5958
1.0365,8,4,0,23.6886
1.03664,4,2,0,26.4113
1.03664,2,3,0,35.2554
1.03664,6,3,0,7.96115
1.03664,8,3,0,60.2141
1.03679,2,2,0,44.6295
1.03679,6,2,0,26.2324
1.03679,8,2,0,66.6967
1.03693,4,1,0,22.8568
1.03693,2,1,0,37.7253
1.03693,6,1,0,29.6727
1.03693,8,1,0,60.57
1.03729,2,5,0,34.1757
1.03729,6,5,0,19.2576
1.03736,4,3,0,51.4898
1.0375,2,4,0,31.3032
1.0375,6,4,0,71.5134
1.03764,4,2,0,26.418
1.03764,2,3,0,34.9007
1.03764,6,3,0,8.2311
1.03779,2,2,0,44.3543
1.03779,6,2,0,25.4696
1.03793,8,5,0,23.5948
1.03793,4,1,0,23.0622
1.03793,2,1,0,37.7591
1.03793,6,1,0,30.4301
1.03814,8,7,0,17.1204
1.03821,8,6,0,69.8028
1.03829,2,5,0,34.2334
1.03829,6,5,0,18.7288
1.03836,4,3,0,50.9846
1.03836,8,5,0,21.6609
1.03843,6,4,0,71.5481
1.0385,2,4,0,31.0644
1.0385,8,4,0,22.8085
1.03857,6,3,0,8.27469
1.03864,4,2,0,26.4756
1.03864,2,3,0,35.3793
1.03864,8,3,0,60.292
1.03871,6,2,0,25.0402
1.03879,2,2,0,44.6173
1.03879,8,2,0,66.7731
1.03886,6,1,0,30.4973
1.03893,4,1,0,29.0078
1.03893,2,1,0,37.6952
1.03893,8,1,0,60.9048
1.03929,2,5,0,34.2772
1.03936,4,3,0,50.8925
1.0395,2,4,0,31.2856
1.03964,4,2,0,26.4787
1.03964,2,3,0,35.2248
1.03979,2,2,0,44.3789
1.03993,6,1,0,32.0287
1.03993,8,4,0,18.6907
1.03993,4,1,0,34.3593
1.03993,2,1,0,37.6233
1.04014,8,7,0,17.1088
1.04021,8,6,0,69.7795
1.04029,2,5,0,34.3777
1.04029,6,5,0,18.6192
1.04036,4,3,0,50.9642
1.04036,8,5,0,21.6947
1.0405,2,4,0,31.2635
1.0405,6,4,0,71.5274
1.0405,8,4,0,23.5368
1.04064,4,2,0,26.3937
1.04064,2,3,0,35.417
1.04064,6,3,0,7.9084
1.04064,8,3,0,60.2413
1.04079,2,2,0,44.7629
1.04079,6,2,0,26.0241
1.04079,8,2,0,66.8896
1.04093,4,1,0,23.0675
1.04093,2,1,0,37.5153
1.04093,6,1,0,29.8547
1.04093,8,1,0,60.7529
1.04114,8,7,0,17.1308
1.04121,8,6,0,69.8742
1.04129,2,5,0,34.2972
1.04129,6,5,0,18.6123
1.04136,4,3,0,51.1378
1.04136,8,5,0,21.7339
1.0415,2,4,0,31.4179
1.0415,6,4,0,71.4506
1.0415,8,4,0,23.504
1.04164,4,2,0,26.3703
1.04164,2,3,0,35.4878
1.04164,6,3,0,7.86211
1.04164,8,3,0,60.2251
1.04179,2,2,0,44.7926
1.04179,6,2,0,26.0647
1.04179,8,2,0,66.8551
1.04193,4,1,0,23.1138
1.04193,2,1,0,37.5135
1.04193,6,1,0,30.0218
1.04193,8,1,0,60.8199
1.04214,8,7,0,17.1207
1.04221,8,6,0,69.8834
1.04229,2,5,0,34.1565
1.04229,6,5,0,18.6521
1.04229,8,5,0,20.5964
1.04236,4,3,0,50.8725
1.04243,8,4,0,23.3483
1.0425,2,4,0,31.3911
1.0425,6,4,0,71.5117
1.04257,8,3,0,60.2251
1.04264,4,2,0,26.3141
1.04264,2,3,0,35.5719
1.04264,6,3,0,8.1413
1.04271,8,2,0,67.1115
1.04279,2,2,0,44.6359
1.04279,6,2,0,25.4794
1.04286,8,1,0,60.2993
1.04293,4,1,0,23.0081
1.04293,2,1,0,37.6066
1.04293,6,1,0,30.6322
1.04393,2,3,0,33.857
1.04393,2,5,0,34.4862
1.04393,4,2,0,21.3716
1.04393,6,1,0,31.5715
1.04393,8,4,0,18.0004
1.04414,8,7,0,17.0385
1.04421,8,6,0,70.0012
1.04429,2,5,0,34.2572
1.04429,6,5,0,18.8055
1.04436,4,3,0,51.3665
1.04436,8,5,0,21.7326
1.0445,2,4,0,31.4835
1.0445,6,4,0,71.5663
1.0445,8,4,0,23.6458
1.04464,4,2,0,26.249
1.04464,2,3,0,35.4719
1.04464,6,3,0,7.92754
1.04464,8,3,0,60.1775
1.04479,2,2,0,44.7977
1.04479,6,2,0,25.9669
1.04479,8,2,0,66.9404
1.04493,4,1,0,22.9477
1.04493,2,1,0,37.5729
1.04493,6,1,0,30.0497
1.04493,8,1,0,60.9935
1.04514,8,7,0,17.7507
1.04521,8,6,0,70.0811
