"10.2s,ENb,486.985,477.091"
"10.2s,ENb,488.576,63.362"
"10.3s,ENb,9.8365,70.3528"
"10.3s,ENb,14.832,484.138"
"10.3s,ENb,486.857,476.866"
"10.3s,ENb,488.464,63.493"
"10.4s,ENb,9.932,70.5504"
"10.4s,ENb,14.976,483.984"
"10.4s,ENb,486.73,476.642"
"10.4s,ENb,488.352,63.624"
"10.5s,ENb,10.0275,70.748"
"10.5s,ENb,15.12,483.83"
"10.5s,ENb,486.602,476.417"
"10.5s,ENb,488.24,63.755"
"10.6s,ENb,10.123,70.9456"
"10.6s,ENb,15.264,483.676"
"10.6s,ENb,486.474,476.192"
"10.6s,ENb,488.128,63.886"
"10.7s,ENb,10.2185,71.1432"
"10.7s,ENb,15.408,483.522"
"10.7s,ENb,486.347,475.968"
"10.7s,ENb,488.016,64.017"
"10.8s,ENb,10.314,71.3408"
"10.8s,ENb,15.552,483.368"
"10.8s,ENb,486.219,475.743"
"10.8s,ENb,487.904,64.148"
"10.9s,ENb,10.4095,71.5384"
"10.9s,ENb,15.696,483.214"
"10.9s,ENb,486.092,475.519"
"10.9s,ENb,487.792,64.279"
"11s,ENb,10.505,71.736"
"11s,ENb,15.84,483.06"
"11s,ENb,485.964,475.294"
"11s,ENb,487.68,64.41"
"11.1s,ENb,10.6005,71.9336"
"11.1s,ENb,15.984,482.906"
"11.1s,ENb,485.836,475.069"
"11.1s,ENb,487.568,64.541"
"11.2s,ENb,10.696,72.1312"
"11.2s,ENb,16.128,482.752"
"11.2s,ENb,485.709,474.845"
"11.2s,ENb,487.456,64.672"
"11.3s,ENb,10.7915,72.3288"
"11.3s,ENb,16.272,482.598"
"11.3s,ENb,485.581,474.62"
"11.3s,ENb,487.344,64.803"
"11.4s,ENb,10.887,72.5264"
"11.4s,ENb,16.416,482.444"
"11.4s,ENb,485.454,474.396"
"11.4s,ENb,487.232,64.934"
"11.5s,ENb,10.9825,72.724"
"11.5s,ENb,16.56,482.29"
"11.5s,ENb,485.326,474.171"
"11.5s,ENb,487.12,65.065"
"11.6s,ENb,11.078,72.9216"
"11.6s,ENb,16.704,482.136"
"11.6s,ENb,485.198,473.946"
"11.6s,ENb,487.008,65.196"
"11.7s,ENb,11.1735,73.1192"
"11.7s,ENb,16.848,481.982"
"11.7s,ENb,485.071,473.722"
"11.7s,ENb,486.896,65.327"
"11.8s,ENb,11.269,73.3168"
"11.8s,ENb,16.992,481.828"
"11.8s,ENb,484.943,473.497"
"11.8s,ENb,486.784,65.458"
"11.9s,ENb,11.3645,73.5144"
"11.9s,ENb,17.136,481.674"
"11.9s,ENb,484.816,473.273"
"11.9s,ENb,486.672,65.589"
"12s,ENb,11.46,73.712"
"12s,ENb,17.28,481.52"
"12s,ENb,484.688,473.048"
"12s,ENb,486.56,65.72"
"12.1s,ENb,11.5555,73.9096"
"12.1s,ENb,17.424,481.366"
"12.1s,ENb,484.56,472.823"
"12.1s,ENb,486.448,65.851"
"12.2s,ENb,11.651,74.1072"
"12.2s,ENb,17.568,481.212"
"12.2s,ENb,484.433,472.599"
"12.2s,ENb,486.336,65.982"
"12.3s,ENb,11.7465,74.3048"
"12.3s,ENb,17.712,481.058"
"12.3s,ENb,484.305,472.374"
"12.3s,ENb,486.224,66.113"
"12.4s,ENb,11.842,74.5024"
"12.4s,ENb,17.856,480.904"
"12.4s,ENb,484.178,472.15"
"12.4s,ENb,486.112,66.244"
"12.5s,ENb,11.9375,74.7"
"12.5s,ENb,18,480.75"
"12.5s,ENb,484.05,471.925"
"12.5s,ENb,486,66.375"
"12.6s,ENb,12.033,74.8976"
"12.6s,ENb,18.144,480.596"
"12.6s,ENb,483.922,471.7"
"12.6s,ENb,485.888,66.506"
"12.7s,ENb,12.1285,75.0952"
"12.7s,ENb,18.288,480.442"
"12.7s,ENb,483.795,471.476"
"12.7s,ENb,485.776,66.637"
"12.8s,ENb,12.224,75.2928"
"12.8s,ENb,18.432,480.288"
"12.8s,ENb,483.667,471.251"
"12.8s,ENb,485.664,66.768"
"12.9s,ENb,12.3195,75.4904"
"12.9s,ENb,18.576,480.134"
"12.9s,ENb,483.54,471.027"
"12.9s,ENb,485.552,66.899"
"13s,ENb,12.415,75.688"
"13s,ENb,18.72,479.98"
"13s,ENb,483.412,470.802"
"13s,ENb,485.44,67.03"
"13.1s,ENb,12.5105,75.8856"
"13.1s,ENb,18.864,479.826"
"13.1s,ENb,483.284,470.577"
"13.1s,ENb,485.328,67.161"
"13.2s,ENb,12.606,76.0832"
"13.2s,ENb,19.008,479.672"
"13.2s,ENb,483.157,470.353"
"13.2s,ENb,485.216,67.292"
"13.3s,ENb,12.7015,76.2808"
"13.3s,ENb,19.152,479.518"
"13.3s,ENb,483.029,470.128"
"13.3s,ENb,485.104,67.423"
"13.4s,ENb,12.797,76.4784"
"13.4s,ENb,19.296,479.364"
"13.4s,ENb,482.902,469.904"
