Time,Entity,Frame,SF,Slot,nodeId,RNTI,bwpId,Harq,ID,K1,Delay
1.01993,HARQ,FD,Txed,101,9,0,2,3,0,11,2
1.01993,HARQ,FD,Txed,101,9,0,6,3,0,11,2
1.01993,HARQ,FD,Txed,101,9,0,8,3,0,11,2
1.01993,HARQ,FD,Txed,101,9,0,2,2,0,11,2
1.01993,HARQ,FD,Txed,101,9,0,8,2,0,11,2
1.01993,HARQ,FD,Txed,101,9,0,6,2,0,11,2
1.01993,HARQ,FD,Txed,101,9,0,4,1,0,11,2
1.01993,HARQ,FD,Txed,101,9,0,2,1,0,11,2
1.01993,HARQ,FD,Txed,101,9,0,8,1,0,11,2
1.01993,HARQ,FD,Txed,101,9,0,6,1,0,11,2
1.02007,DL,DCI,Rxed,102,0,0,2,4,0,13,2
1.02007,DL,DCI,Rxed,102,0,0,2,3,0,13,2
1.02007,DL,DCI,Rxed,102,0,0,2,1,0,13,2
1.02007,DL,DCI,Rxed,102,0,0,2,2,0,13,2
1.02007,DL,DCI,Rxed,102,0,0,2,5,0,13,2
1.02007,DL,DCI,Rxed,102,0,0,4,3,0,13,2
1.02007,DL,DCI,Rxed,102,0,0,4,1,0,13,2
1.02007,DL,DCI,Rxed,102,0,0,4,2,0,13,2
1.02007,DL,DCI,Rxed,102,0,0,6,5,0,13,2
1.02007,DL,DCI,Rxed,102,0,0,6,4,0,13,2
1.02007,DL,DCI,Rxed,102,0,0,6,3,0,13,2
1.02007,DL,DCI,Rxed,102,0,0,6,1,0,13,2
1.02007,DL,DCI,Rxed,102,0,0,6,2,0,13,2
1.02007,DL,DCI,Rxed,102,0,0,8,7,0,13,2
1.02007,DL,DCI,Rxed,102,0,0,8,1,0,13,2
1.02007,DL,DCI,Rxed,102,0,0,8,5,0,13,2
1.02007,DL,DCI,Rxed,102,0,0,8,4,0,13,2
1.02007,DL,DCI,Rxed,102,0,0,8,3,0,13,2
1.02007,DL,DCI,Rxed,102,0,0,8,6,0,13,2
1.02007,DL,DCI,Rxed,102,0,0,8,2,0,13,2
1.02093,HARQ,FD,Txed,102,0,0,8,7,0,15,2
1.02093,HARQ,FD,Txed,102,0,0,8,6,0,15,2
1.02093,HARQ,FD,Txed,102,0,0,6,5,0,15,2
1.02093,HARQ,FD,Txed,102,0,0,2,5,0,15,2
1.02093,HARQ,FD,Txed,102,0,0,4,3,0,15,2
1.02093,HARQ,FD,Txed,102,0,0,8,5,0,15,2
1.02093,HARQ,FD,Txed,102,0,0,6,4,0,15,2
1.02093,HARQ,FD,Txed,102,0,0,2,4,0,15,2
1.02093,HARQ,FD,Txed,102,0,0,8,4,0,15,2
1.02093,HARQ,FD,Txed,102,0,0,4,2,0,15,2
1.02093,HARQ,FD,Txed,102,0,0,2,3,0,15,2
1.02093,HARQ,FD,Txed,102,0,0,6,3,0,15,2
1.02093,HARQ,FD,Txed,102,0,0,8,3,0,15,2
1.02093,HARQ,FD,Txed,102,0,0,2,2,0,15,2
1.02093,HARQ,FD,Txed,102,0,0,8,2,0,15,2
1.02093,HARQ,FD,Txed,102,0,0,6,2,0,15,2
1.02093,HARQ,FD,Txed,102,0,0,4,1,0,15,2
1.02093,HARQ,FD,Txed,102,0,0,2,1,0,15,2
1.02093,HARQ,FD,Txed,102,0,0,8,1,0,15,2
1.02093,HARQ,FD,Txed,102,0,0,6,1,0,15,2
1.02107,DL,DCI,Rxed,102,1,0,2,4,0,12,2
1.02107,DL,DCI,Rxed,102,1,0,2,3,0,12,2
1.02107,DL,DCI,Rxed,102,1,0,2,1,0,12,2
1.02107,DL,DCI,Rxed,102,1,0,2,2,0,12,2
1.02107,DL,DCI,Rxed,102,1,0,2,5,0,12,2
1.02107,DL,DCI,Rxed,102,1,0,4,3,0,12,2
1.02107,DL,DCI,Rxed,102,1,0,4,1,0,12,2
1.02107,DL,DCI,Rxed,102,1,0,4,2,0,12,2
1.02107,DL,DCI,Rxed,102,1,0,6,5,0,12,2
1.02107,DL,DCI,Rxed,102,1,0,6,4,0,12,2
1.02107,DL,DCI,Rxed,102,1,0,6,3,0,12,2
1.02107,DL,DCI,Rxed,102,1,0,6,1,0,12,2
1.02107,DL,DCI,Rxed,102,1,0,6,2,0,12,2
1.02107,DL,DCI,Rxed,102,1,0,8,7,0,12,2
1.02107,DL,DCI,Rxed,102,1,0,8,1,0,12,2
1.02107,DL,DCI,Rxed,102,1,0,8,5,0,12,2
1.02107,DL,DCI,Rxed,102,1,0,8,4,0,12,2
1.02107,DL,DCI,Rxed,102,1,0,8,3,0,12,2
1.02107,DL,DCI,Rxed,102,1,0,8,6,0,12,2
1.02107,DL,DCI,Rxed,102,1,0,8,2,0,12,2
1.02193,HARQ,FD,Txed,102,1,0,8,7,0,14,2
1.02193,HARQ,FD,Txed,102,1,0,8,6,0,14,2
1.02193,HARQ,FD,Txed,102,1,0,6,5,0,14,2
1.02193,HARQ,FD,Txed,102,1,0,2,5,0,14,2
1.02193,HARQ,FD,Txed,102,1,0,4,3,0,14,2
1.02193,HARQ,FD,Txed,102,1,0,2,4,0,14,2
1.02193,HARQ,FD,Txed,102,1,0,8,4,0,14,2
1.02193,HARQ,FD,Txed,102,1,0,6,4,0,14,2
1.02193,HARQ,FD,Txed,102,1,0,2,3,0,14,2
1.02193,HARQ,FD,Txed,102,1,0,8,3,0,14,2
1.02193,HARQ,FD,Txed,102,1,0,4,2,0,14,2
1.02193,HARQ,FD,Txed,102,1,0,6,3,0,14,2
1.02193,HARQ,FD,Txed,102,1,0,2,2,0,14,2
1.02193,HARQ,FD,Txed,102,1,0,8,2,0,14,2
1.02193,HARQ,FD,Txed,102,1,0,6,2,0,14,2
1.02193,HARQ,FD,Txed,102,1,0,8,1,0,14,2
1.02193,HARQ,FD,Txed,102,1,0,4,1,0,14,2
1.02193,HARQ,FD,Txed,102,1,0,6,1,0,14,2
1.02193,HARQ,FD,Txed,102,1,0,8,5,0,14,2
1.02193,HARQ,FD,Txed,102,1,0,2,1,0,14,2
1.02207,DL,DCI,Rxed,102,2,0,2,4,0,11,2
1.02207,DL,DCI,Rxed,102,2,0,2,3,0,11,2
1.02207,DL,DCI,Rxed,102,2,0,2,1,0,11,2
1.02207,DL,DCI,Rxed,102,2,0,2,2,0,11,2
1.02207,DL,DCI,Rxed,102,2,0,2,5,0,11,2
1.02207,DL,DCI,Rxed,102,2,0,4,3,0,11,2
1.02207,DL,DCI,Rxed,102,2,0,4,1,0,11,2
1.02207,DL,DCI,Rxed,102,2,0,4,2,0,11,2
1.02207,DL,DCI,Rxed,102,2,0,6,5,0,11,2
1.02207,DL,DCI,Rxed,102,2,0,6,4,0,11,2
1.02207,DL,DCI,Rxed,102,2,0,6,3,0,11,2
1.02207,DL,DCI,Rxed,102,2,0,6,1,0,11,2
1.02207,DL,DCI,Rxed,102,2,0,6,2,0,11,2
1.02207,DL,DCI,Rxed,102,2,0,8,7,0,11,2
1.02207,DL,DCI,Rxed,102,2,0,8,1,0,11,2
1.02207,DL,DCI,Rxed,102,2,0,8,5,0,11,2
1.02207,DL,DCI,Rxed,102,2,0,8,4,0,11,2
1.02207,DL,DCI,Rxed,102,2,0,8,3,0,11,2
1.02207,DL,DCI,Rxed,102,2,0,8,6,0,11,2
1.02207,DL,DCI,Rxed,102,2,0,8,2,0,11,2
1.02293,HARQ,FD,Txed,102,2,0,8,7,0,13,2
1.02293,HARQ,FD,Txed,102,2,0,8,6,0,13,2
1.02293,HARQ,FD,Txed,102,2,0,6,5,0,13,2
1.02293,HARQ,FD,Txed,102,2,0,2,5,0,13,2
1.02293,HARQ,FD,Txed,102,2,0,4,3,0,13,2
1.02293,HARQ,FD,Txed,102,2,0,8,5,0,13,2
1.02293,HARQ,FD,Txed,102,2,0,2,4,0,13,2
1.02293,HARQ,FD,Txed,102,2,0,6,4,0,13,2
1.02293,HARQ,FD,Txed,102,2,0,8,4,0,13,2
1.02293,HARQ,FD,Txed,102,2,0,4,2,0,13,2
1.02293,HARQ,FD,Txed,102,2,0,2,3,0,13,2
1.02293,HARQ,FD,Txed,102,2,0,8,3,0,13,2
1.02293,HARQ,FD,Txed,102,2,0,6,3,0,13,2
1.02293,HARQ,FD,Txed,102,2,0,2,2,0,13,2
1.02293,HARQ,FD,Txed,102,2,0,8,2,0,13,2
1.02293,HARQ,FD,Txed,102,2,0,6,2,0,13,2
1.02293,HARQ,FD,Txed,102,2,0,4,1,0,13,2
1.02293,HARQ,FD,Txed,102,2,0,8,1,0,13,2
1.02293,HARQ,FD,Txed,102,2,0,6,1,0,13,2
1.02293,HARQ,FD,Txed,102,2,0,2,1,0,13,2
1.02307,DL,DCI,Rxed,102,3,0,2,4,0,15,2
1.02307,DL,DCI,Rxed,102,3,0,2,3,0,15,2
1.02307,DL,DCI,Rxed,102,3,0,2,1,0,15,2
1.02307,DL,DCI,Rxed,102,3,0,2,2,0,15,2
1.02307,DL,DCI,Rxed,102,3,0,2,5,0,15,2
1.02307,DL,DCI,Rxed,102,3,0,4,3,0,15,2
1.02307,DL,DCI,Rxed,102,3,0,4,1,0,15,2
1.02307,DL,DCI,Rxed,102,3,0,4,2,0,15,2
1.02307,DL,DCI,Rxed,102,3,0,6,5,0,15,2
1.02307,DL,DCI,Rxed,102,3,0,6,4,0,15,2
1.02307,DL,DCI,Rxed,102,3,0,6,3,0,15,2
1.02307,DL,DCI,Rxed,102,3,0,6,1,0,15,2
1.02307,DL,DCI,Rxed,102,3,0,6,2,0,15,2
1.02307,DL,DCI,Rxed,102,3,0,8,7,0,15,2
1.02307,DL,DCI,Rxed,102,3,0,8,1,0,15,2
1.02307,DL,DCI,Rxed,102,3,0,8,5,0,15,2
1.02307,DL,DCI,Rxed,102,3,0,8,4,0,15,2
1.02307,DL,DCI,Rxed,102,3,0,8,3,0,15,2
1.02307,DL,DCI,Rxed,102,3,0,8,6,0,15,2
1.02307,DL,DCI,Rxed,102,3,0,8,2,0,15,2
1.02393,HARQ,FD,Txed,102,3,0,8,7,0,12,2
1.02393,HARQ,FD,Txed,102,3,0,8,6,0,12,2
1.02393,HARQ,FD,Txed,102,3,0,6,5,0,12,2
1.02393,HARQ,FD,Txed,102,3,0,2,5,0,12,2
1.02393,HARQ,FD,Txed,102,3,0,4,3,0,12,2
1.02393,HARQ,FD,Txed,102,3,0,8,5,0,12,2
1.02393,HARQ,FD,Txed,102,3,0,2,4,0,12,2
1.02393,HARQ,FD,Txed,102,3,0,8,4,0,12,2
1.02393,HARQ,FD,Txed,102,3,0,4,2,0,12,2
1.02393,HARQ,FD,Txed,102,3,0,6,3,0,12,2
1.02393,HARQ,FD,Txed,102,3,0,2,3,0,12,2
1.02393,HARQ,FD,Txed,102,3,0,8,3,0,12,2
1.02393,HARQ,FD,Txed,102,3,0,6,2,0,12,2
1.02393,HARQ,FD,Txed,102,3,0,2,2,0,12,2
1.02393,HARQ,FD,Txed,102,3,0,8,2,0,12,2
1.02393,HARQ,FD,Txed,102,3,0,6,1,0,12,2
1.02393,HARQ,FD,Txed,102,3,0,8,1,0,12,2
1.02393,HARQ,FD,Txed,102,3,0,2,1,0,12,2
1.02393,HARQ,FD,Txed,102,3,0,6,4,0,12,2
1.02393,HARQ,FD,Txed,102,3,0,4,1,0,12,2
1.02407,DL,DCI,Rxed,102,4,0,2,4,0,14,2
1.02407,DL,DCI,Rxed,102,4,0,4,3,0,14,2
1.02407,DL,DCI,Rxed,102,4,0,4,1,0,14,2
1.02407,DL,DCI,Rxed,102,4,0,4,2,0,14,2
1.02407,DL,DCI,Rxed,102,4,0,6,5,0,14,2
1.02407,DL,DCI,Rxed,102,4,0,6,4,0,14,2
1.02407,DL,DCI,Rxed,102,4,0,6,3,0,14,2
1.02407,DL,DCI,Rxed,102,4,0,6,1,0,14,2
1.02407,DL,DCI,Rxed,102,4,0,6,2,0,14,2
1.02407,DL,DCI,Rxed,102,4,0,8,7,0,14,2
1.02407,DL,DCI,Rxed,102,4,0,8,1,0,14,2
1.02407,DL,DCI,Rxed,102,4,0,8,5,0,14,2
1.02407,DL,DCI,Rxed,102,4,0,8,4,0,14,2
1.02407,DL,DCI,Rxed,102,4,0,8,3,0,14,2
1.02407,DL,DCI,Rxed,102,4,0,8,6,0,14,2
1.02407,DL,DCI,Rxed,102,4,0,8,2,0,14,2
1.02493,HARQ,FD,Txed,102,4,0,2,5,0,11,2
1.02493,HARQ,FD,Txed,102,4,0,2,3,0,11,2
1.02493,HARQ,FD,Txed,102,4,0,2,2,0,11,2
