time(s),cellId,rnti,lcid,packetSize,delay(s)
1.02003,8,1,3,1530,0.00985386
1.02003,8,1,3,1530,0.00982874
1.02003,8,1,3,1530,0.00980362
1.02003,8,1,3,1530,0.0097785
1.02003,8,1,3,1530,0.00975338
1.02003,8,1,3,1530,0.00972826
1.02024,8,7,3,1530,0.0101875
1.02031,8,6,3,1530,0.0101572
1.02031,8,6,3,1530,0.010132
1.02031,8,6,3,1530,0.0101069
1.02031,8,6,3,1530,0.0100818
1.02031,8,6,3,1530,0.0100567
1.02039,2,5,3,1530,0.00994473
1.02039,2,5,3,1530,0.00991961
1.02039,2,5,3,1530,0.00989449
1.02039,2,5,3,1530,0.00986937
1.02039,2,5,3,1530,0.00984425
1.02039,2,5,3,1530,0.00981913
1.02039,2,5,3,1530,0.00979401
1.02039,2,5,3,1530,0.00976889
1.02039,2,5,3,1530,0.00974377
1.02039,2,5,3,1530,0.00971865
1.02039,2,5,3,1530,0.00969353
1.02039,2,5,3,1530,0.00966841
1.02039,2,5,3,1530,0.00964329
1.02039,2,5,3,1530,0.00961817
1.02039,6,5,3,1530,0.010157
1.02039,6,5,3,1530,0.0101319
1.02039,6,5,3,1530,0.0101068
1.02039,6,5,3,1530,0.0100816
1.02039,6,5,3,1530,0.0100565
1.02039,6,5,3,1530,0.0100314
1.02039,6,5,3,1530,0.0100063
1.02046,4,3,3,1530,0.0098466
1.02046,4,3,3,1530,0.00982148
1.02046,4,3,3,1530,0.00979636
1.02046,4,3,3,1530,0.00977124
1.02046,4,3,3,1530,0.00974612
1.02046,4,3,3,1530,0.009721
1.02046,4,3,3,1530,0.00969588
1.02046,4,3,3,1530,0.00967076
1.02046,4,3,3,1530,0.00964564
1.02046,4,3,3,1530,0.00962052
1.02046,4,3,3,1530,0.0095954
1.02046,4,3,3,1530,0.00957028
1.02046,4,3,3,1530,0.00954516
1.02046,4,3,3,1530,0.00952004
1.02046,4,3,3,1530,0.00949492
1.02046,4,3,3,1530,0.0094698
1.02046,4,3,3,1530,0.00944468
1.02046,4,3,3,1530,0.00941956
1.02046,4,3,3,1530,0.00939444
1.02046,4,3,3,1530,0.00936932
1.02046,4,3,3,1530,0.0093442
1.02046,8,5,3,1530,0.0103226
1.02046,8,5,3,1530,0.0102975
1.02046,8,5,3,1530,0.0102724
1.02046,8,5,3,1530,0.0102473
1.0206,6,4,3,1530,0.0101439
1.0206,6,4,3,1530,0.0101188
1.0206,6,4,3,1530,0.0100937
1.0206,6,4,3,1530,0.0100686
1.0206,6,4,3,1530,0.0100435
1.0206,6,4,3,1530,0.0100183
1.0206,6,4,3,1530,0.00999323
1.0206,6,4,3,1530,0.00996811
1.0206,6,4,3,1530,0.00994299
1.0206,6,4,3,1530,0.00991787
1.0206,6,4,3,1530,0.00989275
1.0206,6,4,3,1530,0.00986763
1.0206,6,4,3,1530,0.00984251
1.0206,6,4,3,1530,0.00981739
1.0206,6,4,3,1530,0.00979227
1.0206,6,4,3,1530,0.00976715
1.0206,8,4,3,1530,0.0104366
1.0206,8,4,3,1530,0.0104115
1.0206,8,4,3,1530,0.0103864
1.0206,8,4,3,1530,0.0103612
1.0206,8,4,3,1530,0.0103361
1.02074,4,2,3,1530,0.0103308
1.02074,4,2,3,1530,0.0103056
1.02074,4,2,3,1530,0.0102805
1.02074,4,2,3,1530,0.0102554
1.02074,4,2,3,1530,0.0102303
1.02074,4,2,3,1530,0.0102052
1.02074,4,2,3,1530,0.01018
1.02074,4,2,3,1530,0.0101549
1.02074,4,2,3,1530,0.0101298
1.02074,4,2,3,1530,0.0101047
1.02074,4,2,3,1530,0.0100796
1.02074,4,2,3,1530,0.0100544
1.02074,2,3,3,1530,0.0104187
1.02074,2,3,3,1530,0.0103936
1.02074,2,3,3,1530,0.0103684
1.02074,2,3,3,1530,0.0103433
1.02074,2,3,3,1530,0.0103182
1.02074,2,3,3,1530,0.0102931
1.02074,2,3,3,1530,0.010268
1.02074,2,3,3,1530,0.0102428
1.02074,2,3,3,1530,0.0102177
1.02074,2,3,3,1530,0.0101926
1.02074,6,3,3,1530,0.0106812
1.02074,8,3,3,1530,0.0104237
1.02074,8,3,3,1530,0.0103986
1.02074,8,3,3,1530,0.0103735
1.02074,8,3,3,1530,0.0103483
1.02074,8,3,3,1530,0.0103232
1.02074,8,3,3,1530,0.0102981
1.02074,8,3,3,1530,0.010273
1.02074,8,3,3,1530,0.0102479
1.02074,8,3,3,1530,0.0102227
1.02074,8,3,3,1530,0.0101976
1.02089,2,2,3,1530,0.010559
1.02089,2,2,3,1530,0.0105339
1.02089,2,2,3,1530,0.0105088
1.02089,2,2,3,1530,0.0104837
1.02089,2,2,3,1530,0.0104585
1.02089,2,2,3,1530,0.0104334
1.02089,2,2,3,1530,0.0104083
1.02089,2,2,3,1530,0.0103832
1.02089,2,2,3,1530,0.0103581
1.02089,2,2,3,1530,0.0103329
1.02089,6,2,3,1530,0.0106683
1.02089,6,2,3,1530,0.0106432
1.02089,6,2,3,1530,0.0106181
1.02089,6,2,3,1530,0.0105929
1.02089,6,2,3,1530,0.0105678
1.02089,6,2,3,1530,0.0105427
1.02089,8,2,3,1530,0.0105653
1.02089,8,2,3,1530,0.0105402
1.02089,8,2,3,1530,0.0105151
1.02089,8,2,3,1530,0.0104899
1.02089,8,2,3,1530,0.0104648
1.02089,8,2,3,1530,0.0104397
1.02089,8,2,3,1530,0.0104146
1.02089,8,2,3,1530,0.0103895
1.02089,8,2,3,1530,0.0103643
1.02089,8,2,3,1530,0.0103392
1.02103,4,1,3,1530,0.0107873
1.02103,4,1,3,1530,0.0107622
1.02103,4,1,3,1530,0.010737
1.02103,4,1,3,1530,0.0107119
1.02103,4,1,3,1530,0.0106868
1.02103,2,1,3,1530,0.0107006
1.02103,2,1,3,1530,0.0106755
1.02103,2,1,3,1530,0.0106504
1.02103,2,1,3,1530,0.0106253
1.02103,2,1,3,1530,0.0106001
1.02103,2,1,3,1530,0.010575
1.02103,2,1,3,1530,0.0105499
1.02103,2,1,3,1530,0.0105248
1.02103,2,1,3,1530,0.0104997
